C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,00:00:00,REGULAR,0001215125,0004568102                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,04:00:00,REGULAR,0001215131,0004568104                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,08:00:00,REGULAR,0001215142,0004568382                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,12:00:00,REGULAR,0001215185,0004569053                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,16:00:00,REGULAR,0001215285,0004569290                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/08/2019,20:00:00,REGULAR,0001215520,0004569816                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,00:00:00,REGULAR,0001215584,0004569964                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,04:00:00,REGULAR,0001215589,0004569974                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,08:00:00,REGULAR,0001215598,0004570258                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,12:00:00,REGULAR,0001215638,0004571033                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,16:00:00,REGULAR,0001215718,0004571367                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/09/2019,20:00:00,REGULAR,0001215981,0004571931                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,00:00:00,REGULAR,0001216058,0004572096                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,04:00:00,REGULAR,0001216062,0004572110                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,08:00:00,REGULAR,0001216072,0004572385                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,09:10:22,REGULAR,0001216091,0004572747                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,11:11:09,REGULAR,0001216113,0004573042                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,12:00:00,REGULAR,0001216123,0004573117                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,16:00:00,REGULAR,0001216240,0004573458                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/10/2019,20:00:00,REGULAR,0001216498,0004574043                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,00:00:00,REGULAR,0001216575,0004574208                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,04:00:00,REGULAR,0001216582,0004574220                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,08:00:00,REGULAR,0001216591,0004574495                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,12:00:00,REGULAR,0001216637,0004575272                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,16:00:00,REGULAR,0001216757,0004575554                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/11/2019,20:00:00,REGULAR,0001217010,0004576178                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,00:00:00,REGULAR,0001217089,0004576356                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,04:00:00,REGULAR,0001217094,0004576362                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,08:00:00,REGULAR,0001217107,0004576618                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,09:01:45,REGULAR,0001217119,0004576915                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,12:00:00,REGULAR,0001217158,0004577366                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,16:00:00,REGULAR,0001217280,0004577711                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,04/12/2019,20:00:00,REGULAR,0001217534,0004578228                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0001057085,0001633688                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0001057127,0001633729                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0001057149,0001633819                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0001057293,0001634140                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0001057576,0001634486                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0001057909,0001634840                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0001058146,0001635027                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,04:00:00,REGULAR,0001058180,0001635059                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,04/07/2019,08:00:00,REGULAR,0001058196,0001635113                                            
